-140.226,277.618
-117.009,277.618
-85.7288,277.618
-71.4703,277.618
-54.857,277.618
-38.8931,277.618
-27.4452,277.618
-12.9987,277.618
3.40337,277.618
15.1149,277.618
32.2067,277.618
46.8735,277.618
58.8622,277.618
73.6159,277.618
88.6481,277.618
100.962,277.618
114.094,277.618
132.767,277.618
145.267,277.618
161.056,277.618
179.983,277.618
197.786,277.618
219.677,277.618
234.616,277.618
250.892,277.618
262.871,277.618
275.621,277.618
286.805,277.618
297.378,277.618
309.526,277.618
321.913,277.618
345.194,277.618
364.876,277.618
385.578,277.618
397.602,277.618
416.983,277.618
444.338,277.618
460.945,277.618
